序号,中文名称,英文名称,学名
280,眉纹冠雉,Rusty-margined Guan,Penelope superciliaris
281,红脸冠雉,Red-faced Guan,Penelope dabbenei
282,紫冠雉,Crested Guan,Penelope purpurascens
283,考加冠雉,Cauca Guan,Penelope perspicax
284,白翅冠雉,White-winged Guan,Penelope albipennis
285,棕胸冠雉,Spix's Guan,Penelope jacquacu
286,乌腿冠雉,Dusky-legged Guan,Penelope obscura
287,彩冠雉,White-crested Guan,Penelope pileata
288,栗腹冠雉,Chestnut-bellied Guan,Penelope ochrogaster
289,白眉冠雉,White-browed Guan,Penelope jacucaca
290,鸣冠雉,Trinidad Piping Guan,Pipile pipile
291,蓝喉鸣冠雉,Blue-throated Piping Guan,Pipile cumanensis
292,红喉鸣冠雉,Red-throated Piping Guan,Pipile cujubi
293,黑额鸣冠雉,Black-fronted Piping Guan,Pipile jacutinga
294,肉垂冠雉,Wattled Guan,Aburria aburri
295,黑镰翅冠雉,Black Guan,Chamaepetes unicolor
296,褐镰翅冠雉,Sickle-winged Guan,Chamaepetes goudotii
297,山冠雉,Highland Guan,Penelopina nigra
298,角冠雉,Horned Guan,Oreophasis derbianus
299,夜冠雉,Nocturnal Curassow,Nothocrax urumutum
300,无冠盔嘴雉,Crestless Curassow,Mitu tomentosum
301,白腹盔嘴雉,Salvin's Curassow,Mitu salvini
302,巨嘴盔嘴雉,Razor-billed Curassow,Mitu tuberosum
303,阿拉戈盔嘴雉,Alagoas Curassow,Mitu mitu
304,盔凤冠雉,Helmeted Curassow,Pauxi pauxi
305,单盔凤冠雉,Horned Curassow,Pauxi unicornis
306,希拉盔嘴雉,Sira Curassow,Pauxi koepckeae
307,大凤冠雉,Great Curassow,Crax rubra
308,蓝嘴凤冠雉,Blue-billed Curassow,Crax alberti
309,黄瘤凤冠雉,Yellow-knobbed Curassow,Crax daubentoni
310,黑凤冠雉,Black Curassow,Crax alector
311,肉垂凤冠雉,Wattled Curassow,Crax globulosa
312,裸面凤冠雉,Bare-faced Curassow,Crax fasciolata
313,红嘴凤冠雉,Red-billed Curassow,Crax blumenbachii
314,白胸珠鸡,White-breasted Guineafowl,Agelastes meleagrides
315,黑珠鸡,Black Guineafowl,Agelastes niger
316,珠鸡,Helmeted Guineafowl,Numida meleagris
317,西非冠珠鸡,Plumed Guineafowl,Guttera plumifera
318,冠珠鸡,Crested Guineafowl,Guttera pucherani
319,鹫珠鸡,Vulturine Guineafowl,Acryllium vulturinum
320,石鹑,Stone Partridge,Ptilopachus petrosus
321,纳氏鹧鸪,Nahan's Partridge,Ptilopachus nahani
322,须林鹑,Bearded Wood Partridge,Dendrortyx barbatus
323,长尾林鹑,Long-tailed Wood Partridge,Dendrortyx macroura
324,黄顶林鹑,Buffy-crowned Wood Partridge,Dendrortyx leucophrys
325,山翎鹑,Mountain Quail,Oreortyx pictus
326,鳞斑鹑,Scaled Quail,Callipepla squamata
327,华丽翎鹑,Elegant Quail,Callipepla douglasii
328,珠颈斑鹑,California Quail,Callipepla californica
329,黑腹翎鹑,Gambel's Quail,Callipepla gambelii
330,斑鹑,Banded Quail,Philortyx fasciatus
331,山齿鹑,Northern Bobwhite,Colinus virginianus
332,黑喉齿鹑,Yucatan Bobwhite,Colinus nigrogularis
333,斑胸齿鹑,Spot-bellied Bobwhite,Colinus leucopogon
334,冠齿鹑,Crested Bobwhite,Colinus cristatus
335,云斑林鹑,Marbled Wood Quail,Odontophorus gujanensis
336,斑翅林鹑,Spot-winged Wood Quail,Odontophorus capueira
337,黑耳林鹑,Black-eared Wood Quail,Odontophorus melanotis
338,棕额林鹑,Rufous-fronted Wood Quail,Odontophorus erythrops
339,黑额林鹑,Black-fronted Wood Quail,Odontophorus atrifrons
340,栗林鹑,Chestnut Wood Quail,Odontophorus hyperythrus
341,暗背林鹑,Dark-backed Wood Quail,Odontophorus melanonotus
342,棕胸林鹑,Rufous-breasted Wood Quail,Odontophorus speciosus
343,黑顶林鹑,Tacarcuna Wood Quail,Odontophorus dialeucos
344,领林鹑,Gorgeted Wood Quail,Odontophorus strophium
345,委内瑞拉林鹑,Venezuelan Wood Quail,Odontophorus columbianus
346,白喉林鹑,Black-breasted Wood Quail,Odontophorus leucolaemus
347,纹颊林鹑,Stripe-faced Wood Quail,Odontophorus balliviani
348,黄眼斑林鹑,Starred Wood Quail,Odontophorus stellatus
349,点斑林鹑,Spotted Wood Quail,Odontophorus guttatus
350,歌鹑,Singing Quail,Dactylortyx thoracicus
351,彩鹑,Montezuma Quail,Cyrtonyx montezumae
352,眼斑彩鹑,Ocellated Quail,Cyrtonyx ocellatus
353,茶脸鹑,Tawny-faced Quail,Rhynchortyx cinctus
354,火鸡,Wild Turkey,Meleagris gallopavo
355,眼斑火鸡,Ocellated Turkey,Meleagris ocellata
356,披肩榛鸡,Ruffed Grouse,Bonasa umbellus
357,花尾榛鸡,Hazel Grouse,Tetrastes bonasia
358,斑尾榛鸡,Chinese Grouse,Tetrastes sewerzowi
359,镰翅鸡,Siberian Grouse,Falcipennis falcipennis
360,枞树镰翅鸡,Spruce Grouse,Falcipennis canadensis
361,西方松鸡,Western Capercaillie,Tetrao urogallus
362,黑嘴松鸡,Black-billed Capercaillie,Tetrao urogalloides
363,黑琴鸡,Black Grouse,Lyrurus tetrix
364,高加索黑琴鸡,Caucasian Grouse,Lyrurus mlokosiewiczi
365,艾草松鸡,Sage Grouse,Centrocercus urophasianus
366,小艾草松鸡,Gunnison Grouse,Centrocercus minimus
367,蓝镰翅鸡,Dusky Grouse,Dendragapus obscurus
368,乌镰翅鸡,Sooty Grouse,Dendragapus fuliginosus
369,尖尾松鸡,Sharp-tailed Grouse,Tympanuchus phasianellus
370,小草原松鸡,Lesser Prairie Chicken,Tympanuchus pallidicinctus
371,草原松鸡,Greater Prairie Chicken,Tympanuchus cupido
372,白尾雷鸟,White-tailed Ptarmigan,Lagopus leucura
373,岩雷鸟,Rock Ptarmigan,Lagopus muta
374,柳雷鸟,Willow Ptarmigan,Lagopus lagopus
375,雪鹑,Snow Partridge,Lerwa lerwa
376,雉鹑,Verreaux's Monal-Partridge,Tetraophasis obscurus
377,黄喉雉鹑,Szechenyi's Monal-Partridge,Tetraophasis szechenyii
378,高加索雪鸡,Caucasian Snowcock,Tetraogallus caucasicus
379,里海雪鸡,Caspian Snowcock,Tetraogallus caspius
380,暗腹雪鸡,Himalayan Snowcock,Tetraogallus himalayensis
381,藏雪鸡,Tibetan Snowcock,Tetraogallus tibetanus
382,阿尔泰雪鸡,Altai Snowcock,Tetraogallus altaicus
383,欧石鸡,Rock Partridge,Alectoris graeca
384,石鸡,Chukar Partridge,Alectoris chukar
385,大石鸡,Przevalski's Partridge,Alectoris magna
386,黑脸石鸡,Philby's Partridge,Alectoris philbyi
387,北非石鸡,Barbary Partridge,Alectoris barbara
388,红腿石鸡,Red-legged Partridge,Alectoris rufa
389,阿拉伯石鸡,Arabian Partridge,Alectoris melanocephala
390,漠鹑,See-see Partridge,Ammoperdix griseogularis
391,沙鹑,Sand Partridge,Ammoperdix heyi
392,黑鹧鸪,Black Francolin,Francolinus francolinus
393,花彩鹧鸪,Painted Francolin,Francolinus pictus
394,中华鹧鸪,Chinese Francolin,Francolinus pintadeanus
395,灰鹧鸪,Grey Francolin,Francolinus pondicerianus
396,沼泽鹧鸪,Swamp Francolin,Francolinus gularis
397,林鹧鸪,Latham's Francolin,Peliperdix lathami
398,栗顶鹧鸪,Coqui Francolin,Peliperdix coqui
399,白喉鹧鸪,White-throated Francolin,Peliperdix albogularis
400,栗喉鹧鸪,Schlegel's Francolin,Peliperdix schlegelii
401,环颈鹧鸪,Ring-necked Francolin,Scleroptila streptophora
402,灰翅鹧鸪,Grey-winged Francolin,Scleroptila afra
403,红翅鹧鸪,Red-winged Francolin,Scleroptila levaillantii
404,芬氏鹧鸪,Finsch's Francolin,Scleroptila finschi
405,谢氏鹧鸪,Shelley's Francolin,Scleroptila shelleyi
406,高地鹧鸪,Moorland Francolin,Scleroptila psilolaema
407,橙翅斑鹧鸪,Orange River Francolin,Scleroptila gutturalis
408,凤头鹧鸪,Crested Francolin,Dendroperdix sephaena
409,鳞斑鹧鸪,Scaly Spurfowl,Pternistis squamatus
410,褐顶鹧鸪,Ahanta Spurfowl,Pternistis ahantensis
411,灰纹鹧鸪,Grey-striped Spurfowl,Pternistis griseostriatus
412,希氏鹧鸪,Hildebrandt's Spurfowl,Pternistis hildebrandti
413,双距鹧鸪,Double-spurred Spurfowl,Pternistis bicalcaratus
414,黄嘴鹧鸪,Heuglin's Spurfowl,Pternistis icterorhynchus
415,红眶鹧鸪,Clapperton's Spurfowl,Pternistis clappertoni
416,海氏鹧鸪,Harwood's Spurfowl,Pternistis harwoodi
417,斯维氏鹧鸪,Swierstra's Spurfowl,Pternistis swierstrai
418,喀麦隆鹧鸪,Mount Cameroon Spurfowl,Pternistis camerunensis
419,艳鹧鸪,Handsome Spurfowl,Pternistis nobilis
420,肯尼亚鹧鸪,Jackson's Spurfowl,Pternistis jacksoni
421,栗枕鹧鸪,Chestnut-naped Spurfowl,Pternistis castaneicollis
422,黑额鹧鸪,Black-fronted Spurfowl,Pternistis atrifrons
423,淡腹鹧鸪,Djibouti Spurfowl,Pternistis ochropectus
424,棕顶鹧鸪,Erckel's Spurfowl,Pternistis erckelii
425,哈氏鹧鸪,Hartlaub's Spurfowl,Pternistis hartlaubi
426,红嘴鹧鸪,Red-billed Spurfowl,Pternistis adspersus
427,南非鹧鸪,Cape Spurfowl,Pternistis capensis
428,纳塔尔鹧鸪,Natal Spurfowl,Pternistis natalensis
429,黄颈裸喉鹧鸪,Yellow-necked Spurfowl,Pternistis leucoscepus
430,彩鹧鸪,Grey-breasted Spurfowl,Pternistis rufopictus
431,裸喉鹧鸪,Red-necked Spurfowl,Pternistis afer
432,斯氏鹧鸪,Swainson's Spurfowl,Pternistis swainsonii
433,灰山鹑,Grey Partridge,Perdix perdix
